title,published_year,technique,subcategory,category,publishers
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Manipulating File Signatures,Filesystem manipulation,DH,IEEE
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Manipulating MACE Times,Log manipulation,TO,IEEE
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Non-Standart RAID‚Äö√Ñ√¥ed Disks,Hard disk manipulation,DH,IEEE
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Restricted Filenames,Filesystem manipulation,DH,IEEE
"

 AfterImage: Evading Traditional Indicator of Compromise (IOC) Blocking

",2025,Forensically resistant configuration,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 AfterImage: Evading Traditional Indicator of Compromise (IOC) Blocking

",2025,Hybrid encryption,Encryption,DH,IEEE
"

 AfterImage: Evading Traditional Indicator of Compromise (IOC) Blocking

",2025,"Zero trust principle
  ``",Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 AfterImage: Evading Traditional Indicator of Compromise (IOC) Blocking

",2025,`   Anonymous connection,Proxy server,TO,IEEE
"

 An Investigation into the Efficacy of Three Erasure Tools under Windows 7

",2023,Automated proxy switching,Proxy server,TO,IEEE
"

 An Investigation into the Efficacy of Three Erasure Tools under Windows 7

",2023,IP address dissociation,IP address spoofing,TO,IEEE
"

 An Investigation into the Efficacy of Three Erasure Tools under Windows 7

",2023,Proxy jumping,Proxy server,TO,IEEE
"

 An Overview on Handling Anti Forensic Issues in Android Devices Using Forensic Automator Tool

",2010,File wiping,File wiping,AW,ADFC
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Degaussing,Disk degaussing / destruction techniques,AW,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Disk,Hard disk manipulation,DH,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Encryption,Encryption,DH,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,File wiping,File wiping,AW,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,IP address spoofing,IP address spoofing,TO,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Log manipulation,Log manipulation,TO,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Metadata manipulation,Metadata wiping,AW,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Network-based hiding,Network-based data hiding,DH,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,P2P networking,P2P networking,TO,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Proxy servers,Proxy server,TO,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Registry wiping,Registry wiping,AW,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,Steganography,Steganography,DH,IEEE
"

 Analyzing Edge IoT Digital Forensics Tools: Cyber Attacks Reconstruction and Anti-Forensics Enhancements

",2022,partition wiping,Partition Wiping,AW,IEEE
"

 Anti-Forensic Challenges in Digital Forensics Investigations: An Overview of Techniques and Tools

",2023,Data wiping,Generic data wiping,AW,IEEE
"

 Anti-Forensic Challenges in Digital Forensics Investigations: An Overview of Techniques and Tools

",2023,Encrypting data,Encryption,DH,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Altering file extensions,Filesystem manipulation,DH,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Anti-reverse engineering,Anti-reverse engineering,AT,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Attacks against the integrity of investigating parties,Investigator integrity attacks,AT,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Data Encryption,Encryption,DH,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Disk,Hard disk manipulation,DH,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Disk Degaussing,Disk degaussing / destruction techniques,AW,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,File Wiping,File wiping,AW,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,IP address spoofing,IP address spoofing,TO,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Metadata Manipulation,Metadata wiping,AW,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Partition Wiping,Partition Wiping,AW,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Peer-to-peer networking,P2P networking,TO,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Program packers,Program packers,AT,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Registry Wiping,Registry wiping,AW,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Relocation of data,Hidden partition utilization,DH,IEEE
"

 Anti-Forensic Deepfake Personas and How To Spot Them

",2024,Steganography,Steganography,DH,IEEE
"

 BDC-GAN: Bidirectional Conversion Between Computer-Generated and Natural Facial Images for Anti-Forensics

",2022,Semantic adversarial attack on deepfake detectors,Adversarial example (evasion),AAF,IEEE
"

 Comparative Analysis of Recovery Tools For Digital Forensic Evidence Using NIST Framework 800-101 R1

",2022,Bidirectional conversion between computer-generated and natural facial images,Synthetic evidence fabrication,AAF,IEEE
"

 Comparative Analysis of Recovery Tools For Digital Forensic Evidence Using NIST Framework 800-101 R1

",2022,Black-box attack,Adversarial example (evasion),AAF,IEEE
"

 Comparative Analysis of Recovery Tools For Digital Forensic Evidence Using NIST Framework 800-101 R1

",2022,Content encoding,Steganography,DH,IEEE
"

 Comparative Analysis of Recovery Tools For Digital Forensic Evidence Using NIST Framework 800-101 R1

",2022,Image regeneration independent of existing forensic methods,AI-generated synthetic data,,IEEE
"

 Comparative Analysis of Recovery Tools For Digital Forensic Evidence Using NIST Framework 800-101 R1

",2022,Noise encoding,Steganography,DH,IEEE
"

 Data Wiping Tool: ByteEditor Technique

",2021,ByteEditor Wiping,File wiping,AW,IEEE
"

 Data Wiping Tool: ByteEditor Technique

",2021,Randomized Data Wiping,Generic data wiping,AW,IEEE
"

 Deployment and Detection of Anti-Forensics Shredding Technique in Android Mobile Devices

",2023,File wiping,File wiping,AW,IEEE
"

 Deployment and Detection of Anti-Forensics Shredding Technique in Android Mobile Devices

",2023,Shredding (permanent file,File wiping,AW,IEEE
"

 Deployment and Detection of Anti-Forensics Shredding Technique in Android Mobile Devices

",2023,folder deletion),Data obscurity,TO,IEEE
"

 DETECTABLE TAMPERING OF JPEG ANTI-FORENSICS

",2012,JPEG anti-forensics via dithering signal (DCT domain),Data obscurity,TO,IEEE
"

 Digital Forensic Tools: Comparison of Autopsy TSK and Forensic Explorer

",2024,File Time Manipulation,Log manipulation,AW,IEEE
"

 Digital Forensic Tools: Comparison of Autopsy TSK and Forensic Explorer

",2024,Meta Data Manipulation,Metadata wiping,DH,IEEE
"

 Digital Forensic Tools: Comparison of Autopsy TSK and Forensic Explorer

",2024,Steganography,steganography,DH,IEEE
"

 Domain-Agnostic Document Authentication Against Practical Recapturing Attacks

",2022,Recapturing attack (display-capture cycle),Data fabrication,TO,IEEE
"

 Domain-Agnostic Document Authentication Against Practical Recapturing Attacks

",2022,Recapturing attack (print-scan cycle),Data fabrication,TO,IEEE
"

 ExS-GAN: Synthesizing Anti-Forensics Images via Extra Supervised GAN

",2023,Average filtering anti-forensics,Data obscurity,TO,IEEE
"

 ExS-GAN: Synthesizing Anti-Forensics Images via Extra Supervised GAN

",2023,Gaussian filtering anti-forensics,Data obscurity,TO,IEEE
"

 ExS-GAN: Synthesizing Anti-Forensics Images via Extra Supervised GAN

",2023,Gaussian noise anti-forensics,Data fabrication,TO,IEEE
"

 ExS-GAN: Synthesizing Anti-Forensics Images via Extra Supervised GAN

",2023,JPEG compression anti-forensics,Data fabrication,TO,IEEE
"

 ExS-GAN: Synthesizing Anti-Forensics Images via Extra Supervised GAN

",2023,Median filtering anti-forensics,Data fabrication,TO,IEEE
"

 ExS-GAN: Synthesizing Anti-Forensics Images via Extra Supervised GAN

",2023,USM sharpening anti-forensics,Data fabrication,TO,IEEE
"

 Experimental Evaluation of ëMMC Data Recovery

",2022,Sanitize (with Trim),Unallocated space wiping,AW,IEEE
"

 Experimental Evaluation of ëMMC Data Recovery

",2022,Secure Erase,Disk wiping,AW,IEEE
"

 Experimental Evaluation of ëMMC Data Recovery

",2022,Secure Trim,Unallocated space wiping,AW,IEEE
"

 Experimental Evaluation of ëMMC Data Recovery

",2022,Trim,Unallocated space wiping,AW,IEEE
"

 Exploring the Use of Tails Operating System in Cybercrime and its Impact on Law Enforcement Investigations

",2024,Brute force attack on encryption,Attacks Against Forensic Tools and Methods,AT,IEEE
"

 Exploring the Use of Tails Operating System in Cybercrime and its Impact on Law Enforcement Investigations

",2024,Cold boot attack prevention,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 Exploring the Use of Tails Operating System in Cybercrime and its Impact on Law Enforcement Investigations

",2024,MAC spoofing,MAC address spoofing,TO,IEEE
"

 Exploring the Use of Tails Operating System in Cybercrime and its Impact on Law Enforcement Investigations

",2024,Metadata hiding,Metadata manipulation,AW,IEEE
"

 GIMD-Net: An effective General-purpose Image Manipulation Detection Network, even under anti-forensic attacks

",2021,Contrast enhancement anti-forensics,Data fabrication,TO,IEEE
"

 GIMD-Net: An effective General-purpose Image Manipulation Detection Network, even under anti-forensic attacks

",2021,JPEG anti-forensics,Data fabrication,TO,IEEE
"

 GIMD-Net: An effective General-purpose Image Manipulation Detection Network, even under anti-forensic attacks

",2021,Median filtering anti-forensics,Data fabrication,TO,IEEE
"

 Identifying Bugs In Digital Forensic Tools

",2013,Buffer overflow,Attacks Against Forensic Tools and Methods,AT,IEEE
"

 Identifying Bugs In Digital Forensic Tools

",2013,Denial of service attacks,Attacks Against Forensic Tools and Methods,AT,IEEE
"

 Identifying Bugs In Digital Forensic Tools

",2013,Fragile heuristics,Attacks Against Forensic Tools and Methods,AT,IEEE
"

 Identifying Bugs In Digital Forensic Tools

",2013,Fuzzing,Attacks Against Forensic Tools and Methods,AT,IEEE
"

 Identifying Bugs In Digital Forensic Tools

",2013,Manual targeted manipulation of data formats,Filesystem manipulation,DH,IEEE
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Debugger,Anti-reverse engineering,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Disassemblers,Anti-reverse engineering,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Emulation,Anti-reverse engineering,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Hardware,Anti-reverse engineering,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Memory,Memory hiding,DH,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Online Analysis,Anti-reverse engineering,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Process,Anti-reverse engineering,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti Tools,Alerts to forensic tool usage,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Anti-Analysis,Anti-reverse engineering,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Packers and Protectors,Program packers,AT,ADFC
"

 Lessons Learned from an Investigation into the Analysis Avoidance Techniques of Malicious Software

",2010,Rootkits,Direct kernel object manipulation (DKOM),DH,ADFC
"

 Supervised Anti-Forensic DNN to Detect Multiple-time Compressed JPEG Tampered Images

",2024,Image splicing (copy-paste tampering),Data fabrication,TO,IEEE
"

 Supervised Anti-Forensic DNN to Detect Multiple-time Compressed JPEG Tampered Images

",2024,JPEG compression anti-forensics (multiple compression),Data fabrication,TO,IEEE
"

 WiDeS: Wiping Detection using System-calls - An Anti-Forensic Resistant Approach

",2023,Entropy-based detection,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 WiDeS: Wiping Detection using System-calls - An Anti-Forensic Resistant Approach

",2023,File wiping,File wiping,AW,IEEE
"

 WiDeS: Wiping Detection using System-calls - An Anti-Forensic Resistant Approach

",2023,Overwriting,File wiping,AW,IEEE
"

 WiDeS: Wiping Detection using System-calls - An Anti-Forensic Resistant Approach

",2023,Secure-delete,File wiping,AW,IEEE
"

 WiDeS: Wiping Detection using System-calls - An Anti-Forensic Resistant Approach

",2023,System-call monitoring,Alerts to forensic tool usage,AT,IEEE
"

 MISLGAN: AN ANTI-FORENSIC CAMERA MODEL FALSIFICATION FRAMEWORK USING A GENERATIVE ADVERSARIAL NETWORK

",2018,Camera model falsification,Metadata manipulation,AW,IEEE
"

 MISLGAN: AN ANTI-FORENSIC CAMERA MODEL FALSIFICATION FRAMEWORK USING A GENERATIVE ADVERSARIAL NETWORK

",2018,Forensic trace falsification,Data fabrication,TO,IEEE
"

 EVALUATING THE EFFICACY OF RGB-D CAMERAS FOR SURVEILLANCE

",2013,3D stream manipulation (RGB-D anti-forensics),Data fabrication,TO,IEEE
"

 EVALUATING THE EFFICACY OF RGB-D CAMERAS FOR SURVEILLANCE

",2013,Type I forgery (scene insertion of humans),GAN-based media forgery,AAF,IEEE
"

 EVALUATING THE EFFICACY OF RGB-D CAMERAS FOR SURVEILLANCE

",2013,Type II forgery (behavior manipulation via skeleton deformation),GAN-based media forgery,AAF,IEEE
"

 Dual-Domain Generative Adversarial Network for Digital Image Operation Anti-forensics

",2021,JPEG compression anti-forensics,Data fabrication,TO,IEEE
"

 Dual-Domain Generative Adversarial Network for Digital Image Operation Anti-forensics

",2021,Median filtering anti-forensics,Data fabrication,TO,IEEE
"

 FORENSICS VS. ANTI-FORENSICS: A DECISION AND GAME THEORETIC FRAMEWORK

",2012,Frame deletion evidence hiding,Data fabrication,TO,IEEE
"

 Temporal Forensics and Anti-Forensics for Motion Compensated Video

",2012,Frame addition anti-forensics,Data fabrication,TO,IEEE
"

 Temporal Forensics and Anti-Forensics for Motion Compensated Video

",2012,Frame deletion anti-forensics,Data fabrication,TO,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Analysis delay,Investigator integrity attacks,AT,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Bootable USB,Live distributions,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Compress,Filesystem manipulation,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Data destruction,Disk degaussing / destruction techniques,AW,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Data hiding,Steganography,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Degaussing,Disk degaussing / destruction techniques,AW,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Execute,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,HPA & DCO,Hard disk manipulation,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,KY FS,Steganographic filesystem,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Obfuscation,Data obscurity,TO,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Portable SW,Portable apps,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,RuneFS,Steganographic filesystem,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Slacker,Slack space hiding,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Steganography,Steganography,DH,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Trace minimization,Data obscurity,TO,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,VM (virtual machine),Virtualization,PIA,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Wiping,Generic data wiping,AW,IEEE
"

 A Conceptual Framework for Database Anti-forensics Impact Mitigation

",2020,Wrapping,Encryption,DH,IEEE
"

 Multiple-Operation Image Anti-Forensics with WGAN-GP Framework

",2019,Additive white Gaussian noise (AWGN) anti-forensics,Data fabrication,TO,IEEE
"

 Multiple-Operation Image Anti-Forensics with WGAN-GP Framework

",2019,Contrast enhancement (S-mapping) anti-forensics,Data fabrication,TO,IEEE
"

 Multiple-Operation Image Anti-Forensics with WGAN-GP Framework

",2019,Gamma correction anti-forensics,Data fabrication,TO,IEEE
"

 Multiple-Operation Image Anti-Forensics with WGAN-GP Framework

",2019,Gaussian blurring anti-forensics,Data fabrication,TO,IEEE
"

 Multiple-Operation Image Anti-Forensics with WGAN-GP Framework

",2019,JPEG compression anti-forensics,Data fabrication,TO,IEEE
"

 Multiple-Operation Image Anti-Forensics with WGAN-GP Framework

",2019,Median filtering anti-forensics,Data fabrication,TO,IEEE
"

 Multiple-Operation Image Anti-Forensics with WGAN-GP Framework

",2019,Unsharp masking sharpening anti-forensics,Data fabrication,TO,IEEE
"

 A framework of generative adversarial networks with novel loss for JPEG restoration and anti-forensics

",2021,Decalibration,Data fabrication,TO,springer
"

 A framework of generative adversarial networks with novel loss for JPEG restoration and anti-forensics

",2021,JPEG anti-forensics,Data fabrication,TO,springer
"

 A framework of generative adversarial networks with novel loss for JPEG restoration and anti-forensics

",2021,Median filtering,Data fabrication,TO,springer
"

 A framework of generative adversarial networks with novel loss for JPEG restoration and anti-forensics

",2021,Noise dither,Data fabrication,TO,springer
"

 A framework of generative adversarial networks with novel loss for JPEG restoration and anti-forensics

",2021,Perceptual DCT histogram smoothing,Data fabrication,TO,springer
"

 A framework of generative adversarial networks with novel loss for JPEG restoration and anti-forensics

",2021,Total variation-based deblocking,Data fabrication,TO,springer
"

 A framework of generative adversarial networks with novel loss for JPEG restoration and anti-forensics

",2021,White Gaussian noise,Data fabrication,TO,springer
"

 Generative Adversarial Attacks Against Deep-Learning-Based Camera Model Identification

",2019,Black-box attack,Adversarial example evasion (GAN-based),AAF,IEEE
"

 Generative Adversarial Attacks Against Deep-Learning-Based Camera Model Identification

",2019,White-box attack,Adversarial example evasion (GAN-based),AAF,IEEE
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Data wiping,Generic data wiping,AW,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Encryption,Encryption,DH,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Event detection prevention,Data obscurity,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Fake data injection into swap files,Data fabrication,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Frame addition trace removal,Data fabrication,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Frame deletion trace removal,Data fabrication,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Image manipulation,Data fabrication,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Intra-prediction after tampering,Data fabrication,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,JPEG compression trace removal,Data fabrication,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Median filtering fingerprint removal,Data fabrication,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Memory analysis prevention,Memory hiding,DH,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Rootkits,Direct kernel object manipulation (DKOM),DH,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Selective data removal from Android OS,File wiping,AW,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Swap file header manipulation,Filesystem manipulation,DH,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Using legitimate applications for malicious intents,Data misdirection/misinformation/framing,TO,Elsevier
"

 A survey and research challenges of anti-forensics: Evaluation of game-theoretic models in simulation of forensic agents‚ behaviour

",2020,Wavelet-based compression trace removal,Data fabrication,TO,Elsevier
"

 Game-Theoretic Decision Support for Cyber Forensic Investigations

",2021,Data Encrypted,Encrypted data,PIA,MDPI
"

 Game-Theoretic Decision Support for Cyber Forensic Investigations

",2021,Indicator Removal on Host,File wiping,AW,MDPI
"

 Game-Theoretic Decision Support for Cyber Forensic Investigations

",2021,Modify Registry,Registry wiping,AW,MDPI
"

 Game-Theoretic Decision Support for Cyber Forensic Investigations

",2021,Obfuscated Files or Information,File steganography,DH,MDPI
"

 Game-Theoretic Decision Support for Cyber Forensic Investigations

",2021,Valid Accounts,Zombie accounts,TO,MDPI
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,Account hijacking,Trojan commands,TO,Elsevier
